District,Confirmed,Recovered,Active,Death,Lat,Long,id
EKM,942032,926106,2566,8526,9.9816,76.2999,8
TVM,754705,744806,1739,8645,10.5276,76.2144,7
TSR,685065,679073,815,7560,8.5241,79.9366,14
KKD,684600,681140,154,6469,11.2588,75.7804,4
MPM,651330,646693,262,6480,11.051,76.0711,5
KLM,528398,523662,400,6655,8.8932,76.6141,13
KTM,475156,470395,1175,4670,9.5916,76.5222,10
PKD,456523,447170,467,5817,10.7867,76.6548,6
ALP,401742,398515,457,5272,9.4981,76.3388,11
KNR,352701,348670,74,4479,11.8745,75.3704,2
PTA,281518,275493,493,2617,9.2648,76.787,12
IDK,215841,212522,312,1552,9.9189,77.1025,9
WYD,170052,167938,74,981,11.6854,76.132,3
KGD,168283,164554,88,1400,12.4996,74.9869,1
